p_id,p_name,role,casting
638,William Shatner,actor,Buzz Howard
2079,Steve Forrest,actor,Samson Toey
80867,Abner Biberman,actor,"Mr. Imhook, Abraham Lincoln Imhook"
103071,Richard Bradford,actor,Brock
553436,A Martinez,actor,
907636,Clint Walker,actor,"Kodiak, Cal 'Kodiak' McCay, Cal 'Kodiak' McKay"
